jobname,status,runs,first_run_utc,last_run_utc
content-audit-nightly,succeeded,7,2026-08-24 03:30:00.431485+00,2026-08-30 03:30:00.204416+00
gd-morning-push,succeeded,7,2026-08-24 08:00:00.550332+00,2026-08-30 08:00:06.134734+00
goaldigger-archive-old-content,failed,1,2026-08-30 06:00:00.000462+00,2026-08-30 06:00:00.000462+00
goaldigger-archive-old-content,succeeded,6,2026-08-24 06:00:00.404761+00,2026-08-29 06:00:00.210927+00
goaldigger-cron-heartbeat-check,failed,170,2026-08-23 14:30:00.000077+00,2026-08-30 14:31:04.608442+00
goaldigger-cron-heartbeat-check,succeeded,164,2026-08-23 10:00:00.381574+00,2026-08-29 11:30:00.232514+00
goaldigger-daily-pipeline,failed,39,2026-08-23 16:00:09.74092+00,2026-08-30 14:00:00.000168+00
goaldigger-daily-pipeline,succeeded,27,2026-08-23 10:00:00.3661+00,2026-08-30 08:00:07.845457+00
goaldigger-matchday-reminder,failed,1,2026-08-30 07:00:18.552997+00,2026-08-30 07:00:18.552997+00
goaldigger-matchday-reminder,succeeded,6,2026-08-24 07:00:00.347571+00,2026-08-29 07:00:00.177188+00
match-status-reaper,failed,1,2026-08-30 05:00:00.000257+00,2026-08-30 05:00:00.000257+00
match-status-reaper,succeeded,6,2026-08-24 05:00:00.395494+00,2026-08-29 05:00:00.17524+00
match-watcher-1min,failed,3997,2026-08-23 14:06:00.000436+00,2026-08-30 14:31:46.831665+00
match-watcher-1min,succeeded,5877,2026-08-23 09:43:00.241715+00,2026-08-30 14:32:06.232976+00
notification-sweep,failed,79,2026-08-23 14:15:07.289308+00,2026-08-30 14:15:07.415603+00
notification-sweep,succeeded,88,2026-08-23 10:15:00.397774+00,2026-08-30 04:15:02.810805+00
pipeline_health_retention_sweep,succeeded,7,2026-08-24 03:00:00.279444+00,2026-08-30 03:00:00.811634+00
raw_fetch_logs_retention_sweep,succeeded,7,2026-08-24 03:15:00.351332+00,2026-08-30 03:15:00.495181+00
