tbl,bucket,rows,oldest_utc,newest_utc
content_items,archived,3120,2026-04-20 23:49:45.376844+00,2026-08-21 06:50:13.382509+00
content_items,draft,4,2026-04-21 07:00:25.763971+00,2026-04-21 07:00:55.378124+00
content_items,pipeline_source=edge_function,519,2026-04-20 23:49:45.376844+00,2026-07-19 22:04:05.170119+00
content_items,pipeline_source=routine,2823,2026-04-29 04:26:32.690244+00,2026-08-29 06:56:03.883488+00
content_items,published,195,2026-05-22 08:18:04.146747+00,2026-08-29 06:56:03.883488+00
content_items,rejected,10,2026-04-23 07:00:35.935976+00,2026-05-17 00:55:11.410492+00
content_items,retrying,13,2026-04-22 07:00:27.035194+00,2026-04-28 21:44:53.370147+00
live_match_briefs,all,259,2026-05-15 19:50:32+00,2026-07-19 19:57:08+00
match_status_state,league=1,104,2026-06-11 19:00:00+00,2026-07-19 19:00:00+00
match_status_state,league=39,23,2026-05-11 19:00:00+00,2026-08-21 19:00:00+00
matchday_reminders_sent,all,6,2026-06-18 07:00:31.475267+00,2026-06-27 07:00:06.710171+00
pipeline_health,apns_send,242,2026-06-01 06:35:16.467609+00,2026-08-29 06:49:37.025495+00
pipeline_health,consequence_fire,144,2026-06-11 21:05:07.826252+00,2026-06-28 04:00:15.954374+00
pipeline_health,content_audit,149,2026-06-05 09:49:33.353668+00,2026-08-29 06:32:10.09568+00
pipeline_health,fetch,51084,2026-06-01 06:00:11.527871+00,2026-08-29 10:01:51.549375+00
pipeline_health,live_brief_fire,208,2026-06-11 19:56:04.003931+00,2026-07-19 19:56:05.309097+00
pipeline_health,matchday_fire,2,2026-06-11 21:05:06.279045+00,2026-06-11 21:05:07.399852+00
pipeline_health,morning_push,1,2026-08-21 08:00:05.789127+00,2026-08-21 08:00:05.789127+00
pipeline_health,publish,195,2026-06-01 06:35:18.341823+00,2026-08-29 06:49:37.349248+00
pipeline_health,routine_post,7620,2026-06-01 06:35:14.20293+00,2026-08-29 11:17:07.556281+00
raw_fetch_logs,all,16475,2026-04-15 20:25:35.399479+00,2026-08-29 10:01:51.531545+00
saturday_quiz_items,all,304,2026-05-12 21:22:08+00,2026-08-29 11:17:06+00
team_insider_items,all,4508,2026-05-12 18:59:48+00,2026-08-27 02:28:43+00
