fixture_id,league_id,home_team_id,away_team_id,status,home_goals,away_goals,elapsed,kickoff_utc,kickoff_sthlm,last_checked,fired_finished_at,fired_sthlm,fired_minutes_after_kickoff,briefs_fired,matchday_fire_capped,la_started,la_sig,la_ended,n_goal_events
1379327,39,spurs,leeds,FT,1,1,,2026-05-11 19:00:00+00,2026-05-11 21:00:00,2026-05-11 22:59:01.902+00,2026-05-11 21:08:03.18+00,2026-05-11 23:08:03.18,128.0530000000000000,[],f,f,,f,0
1379275,39,man_city,crystal_palace,FT,3,0,,2026-05-13 19:00:00+00,2026-05-13 21:00:00,2026-05-14 18:56:49.577+00,2026-05-14 18:56:49.577+00,2026-05-14 20:56:49.577,1436.8262833333333333,[],f,f,,f,0
1379330,39,aston_villa,liverpool,FT,4,2,,2026-05-15 19:00:00+00,2026-05-15 21:00:00,2026-05-15 22:59:01.702+00,2026-05-15 20:59:02.862+00,2026-05-15 22:59:02.862,119.0477000000000000,"[""HT"", ""75""]",f,f,,f,0
1379336,39,man_utd,nottm_forest,FT,3,2,,2026-05-17 11:30:00+00,2026-05-17 13:30:00,2026-05-17 22:59:01.541+00,2026-05-17 13:29:02.603+00,2026-05-17 15:29:02.603,119.0433833333333333,"[""HT"", ""75""]",f,f,,f,0
1379332,39,brentford,crystal_palace,FT,2,2,,2026-05-17 14:00:00+00,2026-05-17 16:00:00,2026-05-17 22:59:01.825+00,,,,"[""HT"", ""75""]",t,f,,f,0
1379338,39,wolves,fulham,FT,1,1,,2026-05-17 14:00:00+00,2026-05-17 16:00:00,2026-05-17 22:59:01.623+00,2026-05-17 15:57:03.971+00,2026-05-17 17:57:03.971,117.0661833333333333,"[""HT"", ""75""]",f,f,,f,0
1379334,39,everton,sunderland,FT,1,3,,2026-05-17 14:00:00+00,2026-05-17 16:00:00,2026-05-17 22:59:01.731+00,2026-05-17 15:58:04.278+00,2026-05-17 17:58:04.278,118.0713000000000000,"[""HT"", ""75""]",f,f,,f,0
1379335,39,leeds,brighton,FT,1,0,,2026-05-17 14:00:00+00,2026-05-17 16:00:00,2026-05-17 22:59:01.912+00,,,,"[""HT"", ""75""]",t,f,,f,0
1379337,39,newcastle,west_ham,FT,3,1,,2026-05-17 16:30:00+00,2026-05-17 18:30:00,2026-05-17 22:59:01.957+00,,,,"[""HT""]",t,f,,f,0
1379329,39,arsenal,burnley,ABD,,,,2026-05-18 19:00:00+00,2026-05-18 21:00:00,2026-06-18 05:00:00.300167+00,,,,[],f,f,,t,0
1379331,39,bournemouth,man_city,FT,1,1,,2026-05-19 18:30:00+00,2026-05-19 20:30:00,2026-05-19 22:59:01.69+00,2026-05-19 20:26:03.728+00,2026-05-19 22:26:03.728,116.0621333333333333,"[""HT""]",f,f,,f,0
1379333,39,chelsea,spurs,FT,2,1,,2026-05-19 19:15:00+00,2026-05-19 21:15:00,2026-05-19 22:59:02.018+00,2026-05-19 21:10:04.072+00,2026-05-19 23:10:04.072,115.0678666666666667,"[""HT""]",f,f,,f,0
1379348,39,west_ham,leeds,FT,3,0,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.513+00,,,,"[""HT""]",t,f,,f,0
1379347,39,spurs,everton,FT,1,0,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.472+00,,,,"[""HT""]",t,f,,f,0
1379340,39,burnley,wolves,FT,1,1,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.42+00,,,,"[""HT""]",t,f,,f,0
1379343,39,liverpool,brentford,FT,1,1,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.315+00,,,,"[""HT""]",t,f,,f,0
1379344,39,man_city,aston_villa,FT,1,2,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.556+00,,,,"[""HT""]",t,f,,f,0
1379345,39,nottm_forest,bournemouth,FT,1,1,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.67+00,,,,"[""HT""]",t,f,,f,0
1379346,39,sunderland,chelsea,FT,2,1,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.707+00,,,,"[""HT""]",t,f,,f,0
1379342,39,fulham,newcastle,FT,2,0,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.235+00,,,,"[""HT""]",t,f,,f,0
1379341,39,crystal_palace,arsenal,FT,1,2,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.636+00,,,,"[""HT""]",t,f,,f,0
1379339,39,brighton,man_utd,FT,0,3,,2026-05-24 15:00:00+00,2026-05-24 17:00:00,2026-05-24 22:59:01.592+00,,,,"[""HT""]",t,f,,f,0
1489369,1,mexico,south_africa,FT,2,0,,2026-06-11 19:00:00+00,2026-06-11 21:00:00,2026-06-11 23:59:03.814+00,2026-06-11 21:05:08.186+00,2026-06-11 23:05:08.186,125.1364333333333333,"[""HT"", ""FT_PUSH""]",f,t,2-0-FT,t,0
1538999,1,south_korea,czech_republic,FT,2,1,,2026-06-12 02:00:00+00,2026-06-12 04:00:00,2026-06-12 23:59:02.675+00,2026-06-12 03:57:02.558+00,2026-06-12 05:57:02.558,117.0426333333333333,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,2-1-FT,t,0
1539000,1,canada,bosnia_herzegovina,FT,1,1,,2026-06-12 19:00:00+00,2026-06-12 21:00:00,2026-06-12 23:59:03.323+00,2026-06-12 20:59:02.566+00,2026-06-12 22:59:02.566,119.0427666666666667,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT,t,0
1489370,1,usa,paraguay,FT,4,1,,2026-06-13 01:00:00+00,2026-06-13 03:00:00,2026-06-14 00:11:02.544+00,2026-06-13 03:04:03.274+00,2026-06-13 05:04:03.274,124.0545666666666667,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,4-1-FT,t,0
1489373,1,qatar,switzerland,FT,1,1,,2026-06-13 19:00:00+00,2026-06-13 21:00:00,2026-06-14 00:11:02.583+00,2026-06-13 21:05:07.433+00,2026-06-13 23:05:07.433,125.1238833333333333,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT,t,0
1489371,1,brazil,morocco,FT,1,1,,2026-06-13 22:00:00+00,2026-06-14 00:00:00,2026-06-14 00:11:03.192+00,2026-06-14 00:11:03.192+00,2026-06-14 02:11:03.192,131.0532000000000000,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT,t,0
1489372,1,haiti,scotland,FT,0,1,,2026-06-14 01:00:00+00,2026-06-14 03:00:00,2026-06-15 01:05:09.058+00,2026-06-14 03:04:04.591+00,2026-06-14 05:04:04.591,124.0765166666666667,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,0-1-FT,t,0
1539001,1,australia,turkiye,FT,2,0,,2026-06-14 04:00:00+00,2026-06-14 06:00:00,2026-06-15 01:05:09.115+00,2026-06-14 05:57:02.442+00,2026-06-14 07:57:02.442,117.0407000000000000,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,2-0-FT,t,0
1489374,1,germany,curacao,FT,7,1,,2026-06-14 17:00:00+00,2026-06-14 19:00:00,2026-06-15 01:05:09.205+00,2026-06-14 19:00:06.342+00,2026-06-14 21:00:06.342,120.1057000000000000,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,7-1-FT,t,0
1489376,1,netherlands,japan,FT,2,2,,2026-06-14 20:00:00+00,2026-06-14 22:00:00,2026-06-15 01:05:09.262+00,2026-06-14 21:56:05.502+00,2026-06-14 23:56:05.502,116.0917000000000000,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,2-2-FT,t,0
1489375,1,ivory_coast,ecuador,FT,1,0,,2026-06-14 23:00:00+00,2026-06-15 01:00:00,2026-06-15 01:05:10.043+00,2026-06-15 01:05:10.043+00,2026-06-15 03:05:10.043,125.1673833333333333,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-0-FT,t,0
1539002,1,sweden,tunisia,FT,5,1,,2026-06-15 02:00:00+00,2026-06-15 04:00:00,2026-06-16 00:06:04.315+00,2026-06-15 03:58:09.452+00,2026-06-15 05:58:09.452,118.1575333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,5-1-FT,t,0
1489380,1,spain,cape_verde,FT,0,0,,2026-06-15 16:00:00+00,2026-06-15 18:00:00,2026-06-16 00:06:04.368+00,2026-06-15 17:57:04.999+00,2026-06-15 19:57:04.999,117.0833166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,0-0-FT,t,0
1489377,1,belgium,egypt,FT,1,1,,2026-06-15 19:00:00+00,2026-06-15 21:00:00,2026-06-16 00:06:04.419+00,2026-06-15 20:58:06.474+00,2026-06-15 22:58:06.474,118.1079000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT,t,0
1489379,1,saudi_arabia,uruguay,FT,1,1,,2026-06-15 22:00:00+00,2026-06-16 00:00:00,2026-06-16 00:06:05.225+00,2026-06-16 00:06:05.225+00,2026-06-16 02:06:05.225,126.0870833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT,t,0
1489378,1,iran,new_zealand,FT,2,2,90,2026-06-16 01:00:00+00,2026-06-16 03:00:00,2026-06-17 00:05:04.511+00,2026-06-16 03:04:03.616+00,2026-06-16 05:04:03.616,124.0602666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,2-2-FT,t,0
1489383,1,france,senegal,FT,3,1,90,2026-06-16 19:00:00+00,2026-06-16 21:00:00,2026-06-17 00:05:04.609+00,2026-06-16 21:05:04.448+00,2026-06-16 23:05:04.448,125.0741333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,3-1-FT-,t,0
1539016,1,iraq,norway,FT,1,4,90,2026-06-16 22:00:00+00,2026-06-17 00:00:00,2026-06-17 00:05:06.456+00,2026-06-17 00:05:06.456+00,2026-06-17 02:05:06.456,125.1076000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-4-FT-,t,5
1489381,1,argentina,algeria,FT,3,0,90,2026-06-17 01:00:00+00,2026-06-17 03:00:00,2026-06-18 01:06:03.111+00,2026-06-17 03:01:06.338+00,2026-06-17 05:01:06.338,121.1056333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,3-0-FT-,t,3
1489382,1,austria,jordan,FT,3,1,90,2026-06-17 04:00:00+00,2026-06-17 06:00:00,2026-06-18 01:06:03.161+00,2026-06-17 06:09:04.089+00,2026-06-17 08:09:04.089,129.0681500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,3-1-FT-,t,4
1539003,1,portugal,congo_dr,FT,1,1,90,2026-06-17 17:00:00+00,2026-06-17 19:00:00,2026-06-18 01:06:03.211+00,2026-06-17 19:00:12.598+00,2026-06-17 21:00:12.598,120.2099666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT-,t,2
1489384,1,england,croatia,FT,4,2,90,2026-06-17 20:00:00+00,2026-06-17 22:00:00,2026-06-18 01:06:03.249+00,2026-06-17 22:01:04.494+00,2026-06-18 00:01:04.494,121.0749000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,4-2-FT-,t,6
1489385,1,ghana,panama,FT,1,0,90,2026-06-17 23:00:00+00,2026-06-18 01:00:00,2026-06-18 01:06:03.937+00,2026-06-18 01:06:03.937+00,2026-06-18 03:06:03.937,126.0656166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-0-FT-,t,1
1489386,1,uzbekistan,colombia,FT,1,3,90,2026-06-18 02:00:00+00,2026-06-18 04:00:00,2026-06-19 00:03:03.609+00,2026-06-18 04:03:05.189+00,2026-06-18 06:03:05.189,123.0864833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-3-FT-,t,4
1539004,1,czech_republic,south_africa,FT,1,1,90,2026-06-18 16:00:00+00,2026-06-18 18:00:00,2026-06-19 00:03:03.676+00,2026-06-18 17:59:03.634+00,2026-06-18 19:59:03.634,119.0605666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-1-FT-,t,2
1539005,1,switzerland,bosnia_herzegovina,FT,4,1,90,2026-06-18 19:00:00+00,2026-06-18 21:00:00,2026-06-19 00:03:03.735+00,2026-06-18 20:58:05.08+00,2026-06-18 22:58:05.08,118.0846666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,4-1-FT-,t,5
1489387,1,canada,qatar,FT,6,0,90,2026-06-18 22:00:00+00,2026-06-19 00:00:00,2026-06-19 00:03:04.585+00,2026-06-19 00:03:04.585+00,2026-06-19 02:03:04.585,123.0764166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,6-0-FT-,t,6
1489388,1,mexico,south_korea,FT,1,0,90,2026-06-19 01:00:00+00,2026-06-19 03:00:00,2026-06-20 00:00:31.263+00,2026-06-19 02:57:04.169+00,2026-06-19 04:57:04.169,117.0694833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,1-0-FT-,t,1
1489391,1,usa,australia,FT,2,0,90,2026-06-19 19:00:00+00,2026-06-19 21:00:00,2026-06-20 00:00:31.323+00,2026-06-19 21:05:07.277+00,2026-06-19 23:05:07.277,125.1212833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,2-0-FT-,t,1
