day_sthlm,stage,status,count
2026-08-01,content_audit,failure,1
2026-08-01,content_audit,success,2
2026-08-01,fetch,failure,37
2026-08-01,fetch,success,515
2026-08-01,routine_post,success,23
2026-08-02,apns_send,success,6
2026-08-02,content_audit,failure,1
2026-08-02,content_audit,success,2
2026-08-02,fetch,failure,58
2026-08-02,fetch,success,563
2026-08-02,publish,skipped,1
2026-08-02,publish,success,6
2026-08-02,routine_post,failure,1
2026-08-02,routine_post,success,96
2026-08-03,apns_send,success,2
2026-08-03,content_audit,success,2
2026-08-03,fetch,failure,77
2026-08-03,fetch,success,544
2026-08-03,publish,success,2
2026-08-03,routine_post,success,105
2026-08-04,apns_send,failure,1
2026-08-04,apns_send,success,1
2026-08-04,content_audit,success,2
2026-08-04,fetch,failure,80
2026-08-04,fetch,success,541
2026-08-04,publish,failure,1
2026-08-04,publish,success,1
2026-08-04,routine_post,success,104
2026-08-05,apns_send,failure,1
2026-08-05,content_audit,success,2
2026-08-05,fetch,failure,50
2026-08-05,fetch,success,571
2026-08-05,publish,failure,1
2026-08-05,routine_post,failure,3
2026-08-05,routine_post,success,52
2026-08-06,apns_send,success,2
2026-08-06,content_audit,success,2
2026-08-06,fetch,failure,41
2026-08-06,fetch,success,580
2026-08-06,publish,skipped,2
2026-08-06,publish,success,2
2026-08-06,routine_post,failure,1
2026-08-06,routine_post,success,113
2026-08-07,apns_send,success,2
2026-08-07,content_audit,success,2
2026-08-07,fetch,failure,33
2026-08-07,fetch,success,588
2026-08-07,publish,skipped,1
2026-08-07,publish,success,2
2026-08-07,routine_post,failure,3
2026-08-07,routine_post,success,116
2026-08-08,apns_send,success,2
2026-08-08,content_audit,success,2
2026-08-08,fetch,failure,14
2026-08-08,fetch,success,607
2026-08-08,publish,success,2
2026-08-08,routine_post,failure,1
2026-08-08,routine_post,success,40
2026-08-09,apns_send,success,3
2026-08-09,content_audit,success,2
2026-08-09,fetch,failure,38
2026-08-09,fetch,success,583
2026-08-09,publish,success,3
2026-08-09,routine_post,failure,2
2026-08-09,routine_post,success,89
2026-08-10,apns_send,success,3
2026-08-10,content_audit,success,1
2026-08-10,fetch,failure,63
2026-08-10,fetch,success,558
2026-08-10,publish,skipped,1
2026-08-10,publish,success,3
2026-08-10,routine_post,failure,1
2026-08-10,routine_post,success,38
2026-08-11,apns_send,success,3
2026-08-11,content_audit,success,2
2026-08-11,fetch,failure,52
2026-08-11,fetch,success,569
2026-08-11,publish,skipped,1
2026-08-11,publish,success,3
2026-08-11,routine_post,failure,5
2026-08-11,routine_post,success,124
2026-08-12,apns_send,success,2
2026-08-12,content_audit,success,1
2026-08-12,fetch,failure,40
2026-08-12,fetch,success,512
2026-08-12,publish,skipped,1
2026-08-12,publish,success,2
2026-08-12,routine_post,failure,1
2026-08-12,routine_post,success,103
2026-08-13,apns_send,success,3
2026-08-13,fetch,failure,40
2026-08-13,fetch,success,512
2026-08-13,publish,skipped,1
2026-08-13,publish,success,3
2026-08-13,routine_post,failure,1
2026-08-13,routine_post,success,18
2026-08-14,apns_send,success,1
2026-08-14,content_audit,success,1
2026-08-14,fetch,failure,42
2026-08-14,fetch,success,510
2026-08-14,publish,skipped,1
2026-08-14,publish,success,1
2026-08-14,routine_post,failure,3
2026-08-14,routine_post,success,24
2026-08-15,apns_send,success,2
2026-08-15,fetch,failure,23
2026-08-15,fetch,success,529
2026-08-15,publish,success,2
2026-08-15,routine_post,success,34
2026-08-16,apns_send,success,4
2026-08-16,content_audit,success,2
2026-08-16,fetch,failure,22
2026-08-16,fetch,success,461
2026-08-16,publish,success,4
2026-08-16,routine_post,failure,2
2026-08-16,routine_post,success,32
2026-08-17,apns_send,success,1
2026-08-17,content_audit,success,2
2026-08-17,fetch,failure,27
2026-08-17,fetch,success,318
2026-08-17,publish,success,1
2026-08-17,routine_post,success,52
2026-08-18,apns_send,success,1
2026-08-18,content_audit,success,2
2026-08-18,fetch,failure,31
2026-08-18,fetch,success,314
2026-08-18,publish,success,1
2026-08-18,routine_post,success,102
2026-08-19,apns_send,success,2
2026-08-19,content_audit,success,2
2026-08-19,fetch,failure,29
2026-08-19,fetch,success,316
2026-08-19,publish,success,2
2026-08-19,routine_post,failure,2
2026-08-19,routine_post,success,108
2026-08-20,apns_send,success,2
2026-08-20,content_audit,success,2
2026-08-20,fetch,failure,23
2026-08-20,fetch,success,322
2026-08-20,publish,success,2
2026-08-20,routine_post,failure,1
2026-08-20,routine_post,success,104
2026-08-21,apns_send,success,1
2026-08-21,content_audit,success,2
2026-08-21,fetch,failure,11
2026-08-21,fetch,success,265
2026-08-21,morning_push,success,1
2026-08-21,publish,success,1
2026-08-21,routine_post,failure,1
2026-08-21,routine_post,success,57
2026-08-22,apns_send,success,1
2026-08-22,content_audit,success,2
2026-08-22,fetch,failure,56
2026-08-22,fetch,success,289
2026-08-22,publish,success,1
2026-08-22,routine_post,failure,1
2026-08-22,routine_post,success,30
2026-08-23,apns_send,success,4
2026-08-23,content_audit,success,1
2026-08-23,fetch,failure,43
2026-08-23,fetch,success,302
2026-08-23,publish,skipped,1
2026-08-23,publish,success,4
2026-08-23,routine_post,success,38
2026-08-24,apns_send,success,1
2026-08-24,content_audit,success,1
2026-08-24,fetch,failure,14
2026-08-24,fetch,success,262
2026-08-24,publish,skipped,1
2026-08-24,publish,success,1
2026-08-24,routine_post,success,52
2026-08-25,content_audit,success,1
2026-08-25,fetch,failure,10
2026-08-25,fetch,success,266
2026-08-25,routine_post,success,20
2026-08-26,apns_send,success,1
2026-08-26,content_audit,success,1
2026-08-26,fetch,failure,3
2026-08-26,fetch,success,204
2026-08-26,publish,skipped,1
2026-08-26,publish,success,1
2026-08-26,routine_post,failure,2
2026-08-26,routine_post,success,88
2026-08-27,apns_send,success,1
2026-08-27,content_audit,success,1
2026-08-27,fetch,failure,5
2026-08-27,fetch,success,340
2026-08-27,publish,skipped,1
2026-08-27,publish,success,1
2026-08-27,routine_post,failure,2
2026-08-27,routine_post,success,91
2026-08-28,apns_send,partial,1
2026-08-28,apns_send,success,1
2026-08-28,content_audit,success,1
2026-08-28,fetch,failure,4
2026-08-28,fetch,success,272
2026-08-28,publish,partial,1
2026-08-28,publish,skipped,3
2026-08-28,publish,success,1
2026-08-28,routine_post,success,21
2026-08-29,apns_send,success,1
2026-08-29,content_audit,success,1
2026-08-29,fetch,failure,3
2026-08-29,fetch,success,204
2026-08-29,publish,success,1
2026-08-29,routine_post,success,36
