team_id,is_active,items,pushed,feed_only,matchday,sunday_briefs,first_sthlm,last_sthlm
arsenal,t,46,30,16,1,4,2026-08-02 00:48:17.243739,2026-08-29 08:44:26.838376
man_city,t,40,34,6,3,4,2026-08-01 08:52:32.252276,2026-08-29 08:53:09.684031
liverpool,t,35,22,13,1,4,2026-08-02 00:55:03.663895,2026-08-29 08:49:34.077471
chelsea,t,35,30,5,0,4,2026-08-01 08:48:28.618633,2026-08-29 08:48:12.675785
man_utd,t,31,22,9,0,4,2026-08-02 00:56:13.77732,2026-08-28 08:50:16.897371
aston_villa,t,27,21,6,0,4,2026-08-02 11:20:18.093161,2026-08-29 08:46:23.572597
spurs,t,27,18,9,1,4,2026-08-01 08:49:13.15158,2026-08-29 08:56:03.883488
newcastle,t,26,23,3,1,4,2026-08-02 11:21:57.147394,2026-08-29 08:54:06.799365
brighton,t,20,16,4,0,4,2026-08-02 00:50:14.754412,2026-08-29 08:47:04.263372
crystal_palace,t,17,12,5,0,4,2026-08-02 11:21:06.104254,2026-08-29 08:48:39.366715
nottm_forest,t,16,14,2,0,4,2026-08-02 11:22:05.178673,2026-08-28 08:54:51.764473
bournemouth,t,13,13,0,0,4,2026-08-02 00:48:39.717283,2026-08-29 08:46:49.463723
everton,t,12,9,3,1,4,2026-08-02 11:21:13.021534,2026-08-28 08:43:59.02593
fulham,t,12,12,0,0,4,2026-08-02 11:21:19.792189,2026-08-28 08:44:58.896474
brentford,t,9,8,1,0,4,2026-08-02 00:49:08.501398,2026-08-27 08:54:14.790345
ipswich,t,7,7,0,0,0,2026-08-05 00:48:04.683734,2026-08-28 08:45:49.589339
sunderland,t,6,6,0,0,4,2026-08-02 11:22:19.311396,2026-08-23 11:22:27.599753
leeds,t,5,5,0,0,4,2026-08-02 11:21:28.275911,2026-08-23 11:22:12.801853
hull,t,0,0,0,0,0,,
coventry,t,0,0,0,0,0,,
west_ham,f,18,17,1,0,4,2026-08-02 00:57:44.417985,2026-08-27 08:57:05.258283
wolves,f,12,11,1,2,4,2026-08-02 11:22:33.485308,2026-08-23 11:22:31.413963
southampton,f,8,7,1,0,0,2026-08-05 00:49:12.750867,2026-08-29 08:54:51.460884
leicester,f,6,5,1,0,0,2026-08-06 00:51:43.269133,2026-08-28 08:46:44.209541
burnley,f,5,5,0,0,4,2026-08-02 11:20:51.961411,2026-08-23 11:21:56.656611
