week_sthlm,team_id,items,push_eligible,pushed
2026-07-27,arsenal,3,2,2
2026-07-27,aston_villa,1,1,1
2026-07-27,bournemouth,2,2,2
2026-07-27,brentford,2,2,2
2026-07-27,brighton,2,2,2
2026-07-27,chelsea,4,4,4
2026-07-27,crystal_palace,1,1,1
2026-07-27,everton,1,1,1
2026-07-27,fulham,1,1,1
2026-07-27,leeds,1,1,1
2026-07-27,liverpool,3,3,3
2026-07-27,man_city,3,3,3
2026-07-27,man_utd,2,2,2
2026-07-27,newcastle,1,1,1
2026-07-27,nottm_forest,1,1,1
2026-07-27,spurs,3,3,3
2026-07-27,sunderland,1,1,1
2026-08-03,arsenal,14,9,9
2026-08-03,aston_villa,3,2,2
2026-08-03,bournemouth,4,4,4
2026-08-03,brentford,1,1,1
2026-08-03,brighton,3,3,3
2026-08-03,chelsea,10,8,8
2026-08-03,crystal_palace,3,2,2
2026-08-03,everton,2,2,2
2026-08-03,fulham,3,3,3
2026-08-03,ipswich,1,1,1
2026-08-03,leeds,1,1,1
2026-08-03,liverpool,10,5,5
2026-08-03,man_city,10,7,7
2026-08-03,man_utd,8,5,5
2026-08-03,newcastle,11,9,9
2026-08-03,nottm_forest,3,2,2
2026-08-03,spurs,6,1,1
2026-08-03,sunderland,3,3,3
2026-08-10,arsenal,15,10,10
2026-08-10,aston_villa,9,7,7
2026-08-10,bournemouth,4,4,4
2026-08-10,brentford,2,1,1
2026-08-10,brighton,3,1,1
2026-08-10,chelsea,10,8,8
2026-08-10,crystal_palace,7,4,4
2026-08-10,everton,4,2,2
2026-08-10,fulham,5,5,5
2026-08-10,ipswich,1,1,1
2026-08-10,leeds,2,2,2
2026-08-10,liverpool,11,7,7
2026-08-10,man_city,13,11,11
2026-08-10,man_utd,9,6,6
2026-08-10,newcastle,6,6,6
2026-08-10,nottm_forest,6,6,6
2026-08-10,spurs,7,5,5
2026-08-10,sunderland,1,1,1
2026-08-17,arsenal,8,7,7
2026-08-17,aston_villa,7,6,6
2026-08-17,bournemouth,1,1,1
2026-08-17,brentford,2,2,2
2026-08-17,brighton,7,6,6
2026-08-17,chelsea,5,4,4
2026-08-17,crystal_palace,4,4,4
2026-08-17,everton,2,2,2
2026-08-17,fulham,1,1,1
2026-08-17,ipswich,3,3,3
2026-08-17,leeds,1,1,1
2026-08-17,liverpool,6,3,3
2026-08-17,man_city,7,7,7
2026-08-17,man_utd,6,5,5
2026-08-17,newcastle,4,4,4
2026-08-17,nottm_forest,3,3,3
2026-08-17,spurs,6,5,5
2026-08-17,sunderland,1,1,1
2026-08-24,arsenal,6,2,2
2026-08-24,aston_villa,7,5,5
2026-08-24,bournemouth,2,2,2
2026-08-24,brentford,2,2,2
2026-08-24,brighton,5,4,4
2026-08-24,chelsea,6,6,6
2026-08-24,crystal_palace,2,1,1
2026-08-24,everton,3,2,2
2026-08-24,fulham,2,2,2
2026-08-24,ipswich,2,2,2
2026-08-24,liverpool,5,4,4
2026-08-24,man_city,7,6,6
2026-08-24,man_utd,6,4,4
2026-08-24,newcastle,4,3,3
2026-08-24,nottm_forest,3,2,2
2026-08-24,spurs,5,4,4
