id,team_id,type,created_sthlm,everyone_talking_headline,headline
37aa25a8-7b6a-4ef6-8c51-e139ce0448de,chelsea,news,2026-08-01 08:48:28.618633,Cole Palmer (Chelsea midfielder) had a quiet summer while England played. His first pre-season test is today against Spurs.,Cole Palmer (Chelsea midfielder) had a quiet summer while England played at the tournament. He faces Spurs in a pre-season friendly this morning at 09:45.
9a7c0b9f-c0a2-412e-8307-0bcf74a03435,spurs,news,2026-08-01 08:49:13.15158,Tottenham have spent £237m this summer. Manager Roberto De Zerbi says there's no sign of slowing down.,Spurs have spent £237m this summer and manager De Zerbi says he's not done. First test: Chelsea this morning at 09:45.
72e704e8-9c28-4b64-89a5-6e89546ea259,brazil,news,2026-08-02 00:46:48.172294,"Vinicius Junior could leave Real Madrid if contract talks break down, according to sources.","Real Madrid winger Vinicius Junior could leave the club if contract talks break down, according to sources."
b4d11e46-19be-418d-81bc-05723c2d7d77,brentford,news,2026-08-02 00:49:08.501398,"Brentford sign Mali midfielder Mamadou Sangare from Lens for a reported £39m, a club record fee.",Brentford have signed Mali midfielder Mamadou Sangare from Lens for a reported club record £39m. Biggest signing in the club's history.
41d5d4e3-2045-443c-bc3f-73fd18a63151,chelsea,news,2026-08-02 00:53:59.016298,Spurs beat Chelsea 1-2 in pre-season despite finishing with 10 men. Richarlison scored the winner.,Chelsea lost 1-2 to Spurs in their Sydney pre-season friendly. Richarlison scored the winner for 10-man Spurs.
181f70f1-936b-41d5-91d2-4266fe43ea00,spurs,news,2026-08-02 00:56:54.786397,10-man Spurs beat Chelsea 2-1 in Sydney. Richarlison scored and De Zerbi says he wants to keep him.,Spurs beat Chelsea 2-1 in Sydney with 10 men. Richarlison scored and De Zerbi says he wants to keep him despite transfer speculation.
d71fbf89-2c32-4f45-9a53-1c8749f5ed9a,west_ham,news,2026-08-02 00:57:44.417985,Gold family agrees to sell West Ham stake to Staveley-led consortium. New era begins at the club.,The Gold family have agreed to sell their 25.1% West Ham stake to a consortium led by Amanda Staveley.
4865f378-4363-4d28-9d57-111870588d49,liverpool,news,2026-08-02 08:43:02.769791,"Liverpool's Iraola needs defenders with three weeks to go. 'Faster, faster' is his motto.","Liverpool's new manager Iraola is in a hurry. 'Faster, faster' is his pre-season mantra. Three weeks until the season, and he still needs defenders."
b2b1cce8-659f-42dc-8161-0e5f2d3b94b2,arsenal,news,2026-08-02 08:48:00.445713,Man Utd reportedly checking whether Arsenal would sell Lewis-Skelly. No offer made.,"Manchester United are reportedly checking whether Arsenal would be open to selling Myles Lewis-Skelly. No formal offer made, just an early inquiry."
70be08ad-2eba-40e8-835c-9b12d502e60b,chelsea,news,2026-08-03 00:47:42.268708,Chelsea sign Argentina left-back Valentín Barco from Strasbourg on a seven-year deal.,Chelsea sign Argentina left-back Valentín Barco from Strasbourg on a seven-year deal.
7d476df9-8a87-40d7-adc7-3e7c86e4a41e,liverpool,news,2026-08-03 00:50:51.80042,Liverpool led Leeds 2-0 at half-time in their US pre-season tour and lost 4-2.,Liverpool led Leeds 2-0 at half-time in their pre-season US tour. They lost 4-2.
a6165c58-aa98-4f28-91f1-1f00c4c03ffa,argentina,news,2026-08-03 08:46:42.487651,Messi played his first game for Inter Miami since Argentina lost the World Championship final last month. Miami drew 2-2 with Columbus.,"Messi (Argentina captain) returned to Inter Miami this weekend, first game since the World Championship final last month. Miami drew 2-2 with Columbus."
4017be47-28da-42de-89af-55187ff7a296,arsenal,news,2026-08-04 00:44:45.802834,Newcastle reject Arsenal's opening bid for captain Bruno Guimarães.,Arsenal had their first bid for Bruno Guimarães (Newcastle midfielder and captain) rejected today. Newcastle turned down an offer of around £70m.
0a084a27-5020-4445-a4e7-0a03eaa805ad,chelsea,news,2026-08-04 00:46:25.087423,Chelsea sign former Liverpool captain Jordan Henderson on a free. Trevoh Chalobah sold to Como.,Chelsea signed former Liverpool captain Jordan Henderson on a free. They also sold defender Trevoh Chalobah to Como for around £27.5m.
6bcb8e76-b641-49c4-a5d6-8900a1e1c4a2,fulham,news,2026-08-04 00:46:55.822304,Fulham sign Gonzalo Garcia and Cesar Palacios from Real Madrid. Both on five-year deals.,"Fulham have signed two Real Madrid players in one day: striker Gonzalo Garcia and Cesar Palacios, both on five-year deals."
0022f3c1-0cc7-4737-9e3a-0794d6acd769,newcastle,news,2026-08-04 00:47:55.710374,Newcastle sign Lukas Hornicek from Braga for £25.7m as post-Eddie Howe rebuild begins.,"Newcastle have signed goalkeeper Lukas Hornicek from Braga for £25.7m. Their rebuild is under way, three days after Eddie Howe's departure."
c552000e-4eb3-4287-9979-cd866b2835ce,arsenal,news,2026-08-04 08:40:44.304888,"Real Madrid resuming talks with Vinicius Jr, with Arsenal reportedly monitoring the situation.","Real Madrid are reportedly resuming talks with Vinicius Jr this week, with Arsenal reportedly waiting in the wings."
e658a126-a80a-4a7a-80a0-f18ce6f658ff,aston_villa,news,2026-08-04 08:44:35.312349,Europa League winners Aston Villa face Champions League winners PSG in the UEFA Super Cup on 12 August.,"Aston Villa, Europa League winners, face PSG (Champions League winners) in the UEFA Super Cup on 12 August. European royalty, both of them."
6c87fc56-38a4-4803-be2d-c105c66ea8de,newcastle,news,2026-08-04 08:51:39.369833,Newcastle reject Arsenal's £70m opening bid for captain Bruno Guimarães. He turned up at training.,Newcastle captain Bruno Guimarães (Brazil midfielder) is at training this week. The club turned down a £70m Arsenal bid for him.
aa02e83f-f451-4beb-837a-af36c4d17ed5,liverpool,news,2026-08-05 00:48:44.498021,Mohamed Salah set to join Turkish club Trabzonspor after leaving Liverpool,"Mohamed Salah, who left Liverpool after nine years, is in talks to sign for Turkish club Trabzonspor. Medical expected on Wednesday."
