team_id,consequence_type,created_sthlm,pushed,headline
algeria,WC_RIVAL_RESULT,2026-06-17 08:09:03.631685,t,Austria beat Jordan 3-1.
algeria,WC_RIVAL_RESULT,2026-06-22 21:03:04.623818,t,Argentina beat Austria 2-0.
algeria,WC_RIVAL_RESULT,2026-06-28 05:58:05.225098,t,Argentina beat Jordan 3-1.
argentina,WC_RIVAL_RESULT,2026-06-17 08:09:03.492201,t,Austria beat Jordan 3-1.
argentina,WC_RIVAL_RESULT,2026-06-23 07:01:04.085409,t,Algeria beat Jordan 2-1.
argentina,WC_RIVAL_RESULT,2026-06-28 06:00:15.579869,t,Austria could only draw 3-3 at Algeria.
australia,WC_RIVAL_RESULT,2026-06-13 05:04:02.883792,t,USA beat Paraguay 4-1.
australia,WC_RIVAL_RESULT,2026-06-20 07:07:02.610322,t,Paraguay beat Türkiye 1-0.
australia,WC_RIVAL_RESULT,2026-06-26 06:03:02.045327,t,Türkiye beat USA 3-2.
austria,WC_RIVAL_RESULT,2026-06-17 05:01:05.684205,t,Argentina beat Algeria 3-0.
austria,WC_RIVAL_RESULT,2026-06-23 07:01:04.601143,t,Algeria beat Jordan 2-1.
austria,WC_RIVAL_RESULT,2026-06-28 05:58:05.105882,t,Argentina beat Jordan 3-1.
belgium,WC_RIVAL_RESULT,2026-06-16 05:04:03.172035,t,New Zealand could only draw 2-2 at Iran.
belgium,WC_RIVAL_RESULT,2026-06-22 05:02:04.763109,t,Egypt beat New Zealand 3-1.
belgium,WC_RIVAL_RESULT,2026-06-27 07:04:06.241793,t,Iran could only draw 1-1 at Egypt.
bosnia_herzegovina,WC_RIVAL_RESULT,2026-06-13 23:05:07.036781,t,Switzerland could only draw 1-1 at Qatar.
bosnia_herzegovina,WC_RIVAL_RESULT,2026-06-19 02:03:04.173427,t,Canada beat Qatar 6-0.
bosnia_herzegovina,WC_RIVAL_RESULT,2026-06-24 22:57:03.283921,t,Switzerland beat Canada 2-1.
brazil,WC_RIVAL_RESULT,2026-06-14 05:04:03.747962,t,Scotland beat Haiti 1-0.
brazil,WC_RIVAL_RESULT,2026-06-20 02:00:31.629552,t,Morocco beat Scotland 1-0.
brazil,WC_RIVAL_RESULT,2026-06-25 02:02:04.051473,t,Morocco beat Haiti 4-2.
canada,WC_RIVAL_RESULT,2026-06-13 23:05:06.912456,t,Switzerland could only draw 1-1 at Qatar.
canada,WC_RIVAL_RESULT,2026-06-18 22:58:04.444167,t,Switzerland beat Bosnia & Herzegovina 4-1.
canada,WC_RIVAL_RESULT,2026-06-24 23:00:06.189057,t,Bosnia & Herzegovina beat Qatar 3-1.
cape_verde,WC_RIVAL_RESULT,2026-06-16 02:06:04.822978,t,Uruguay could only draw 1-1 at Saudi Arabia.
cape_verde,WC_RIVAL_RESULT,2026-06-21 20:02:02.490411,t,Spain beat Saudi Arabia 4-0.
cape_verde,WC_RIVAL_RESULT,2026-06-27 04:02:04.273738,t,Spain beat Uruguay 1-0.
colombia,WC_RIVAL_RESULT,2026-06-17 21:00:11.72328,t,Congo DR could only draw 1-1 at Portugal.
colombia,WC_RIVAL_RESULT,2026-06-23 21:00:05.380704,t,Portugal beat Uzbekistan 5-0.
colombia,WC_RIVAL_RESULT,2026-06-28 03:33:04.133051,t,Congo DR beat Uzbekistan 3-1.
congo_dr,WC_RIVAL_RESULT,2026-06-18 06:03:03.790717,t,Colombia beat Uzbekistan 3-1.
congo_dr,WC_RIVAL_RESULT,2026-06-23 21:00:05.528519,t,Portugal beat Uzbekistan 5-0.
congo_dr,WC_RIVAL_RESULT,2026-06-28 03:29:04.821046,t,Portugal could only draw 0-0 at Colombia.
croatia,WC_RIVAL_RESULT,2026-06-18 03:06:03.588784,t,Ghana beat Panama 1-0.
croatia,WC_RIVAL_RESULT,2026-06-24 00:01:05.067775,t,Ghana could only draw 0-0 at England.
croatia,WC_RIVAL_RESULT,2026-06-28 00:56:04.572997,t,England beat Panama 2-0.
curacao,WC_RIVAL_RESULT,2026-06-15 03:05:09.656445,t,Ivory Coast beat Ecuador 1-0.
curacao,WC_RIVAL_RESULT,2026-06-21 00:01:03.77546,t,Germany beat Ivory Coast 2-1.
curacao,WC_RIVAL_RESULT,2026-06-26 00:00:08.135276,t,Ecuador beat Germany 2-1.
czech_republic,WC_RIVAL_RESULT,2026-06-11 23:05:07.856796,t,Mexico beat South Africa 2-0.
czech_republic,WC_RIVAL_RESULT,2026-06-19 04:57:03.129253,t,Mexico beat South Korea 1-0.
czech_republic,WC_RIVAL_RESULT,2026-06-25 04:58:05.03682,t,South Africa beat South Korea 1-0.
ecuador,WC_RIVAL_RESULT,2026-06-14 21:00:06.079248,t,Germany beat Curaçao 7-1.
ecuador,WC_RIVAL_RESULT,2026-06-21 00:01:03.66033,t,Germany beat Ivory Coast 2-1.
ecuador,WC_RIVAL_RESULT,2026-06-25 23:59:02.141789,t,Ivory Coast beat Curaçao 2-0.
egypt,WC_RIVAL_RESULT,2026-06-16 05:04:03.284973,t,New Zealand could only draw 2-2 at Iran.
egypt,WC_RIVAL_RESULT,2026-06-21 23:02:06.119839,t,Iran could only draw 0-0 at Belgium.
egypt,WC_RIVAL_RESULT,2026-06-27 06:58:02.419372,t,Belgium beat New Zealand 5-1.
england,WC_RIVAL_RESULT,2026-06-18 03:06:03.464176,t,Ghana beat Panama 1-0.
england,WC_RIVAL_RESULT,2026-06-24 02:55:07.329024,t,Croatia beat Panama 1-0.
england,WC_RIVAL_RESULT,2026-06-28 00:59:03.79539,t,Croatia beat Ghana 2-1.
france,WC_RIVAL_RESULT,2026-06-17 02:05:05.13207,t,Norway beat Iraq 4-1.
