fixture_id,home_team_id,away_team_id,status,home_goals,away_goals,elapsed,kickoff_sthlm,fired_sthlm,fired_min_after_kickoff,briefs_fired,prekick_pushed,ht_pushed,ft_pushed,la_started,la_ended,n_goal_events
1489418,algeria,austria,FT,3,3,90,2026-06-28 04:00:00,2026-06-28 06:00:16.352,120.2725333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,6
1489421,jordan,argentina,FT,1,3,90,2026-06-28 04:00:00,2026-06-28 05:58:05.548,118.0924666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,4
1561329,south_africa,canada,FT,0,1,90,2026-06-28 21:00:00,2026-06-28 22:58:03.173,118.0528833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,1
1562344,brazil,japan,FT,2,1,90,2026-06-29 19:00:00,2026-06-29 21:03:02.468,123.0411333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1565176,germany,paraguay,PEN,1,1,120,2026-06-29 22:30:00,2026-06-30 01:30:06.785,180.1130833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1562345,netherlands,morocco,PEN,1,1,120,2026-06-30 03:00:00,2026-06-30 05:54:02.257,174.0376166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1564789,ivory_coast,norway,FT,1,2,90,2026-06-30 19:00:00,2026-06-30 20:59:02.137,119.0356166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1565177,france,sweden,FT,3,0,90,2026-06-30 23:00:00,2026-07-01 00:54:04.104,114.0684000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1567306,mexico,ecuador,FT,2,0,90,2026-07-01 03:00:00,2026-07-01 06:02:04.103,182.0683833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1567307,england,congo_dr,FT,2,1,90,2026-07-01 18:00:00,2026-07-01 20:01:02.792,121.0465333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1567308,belgium,senegal,AET,3,2,120,2026-07-01 22:00:00,2026-07-02 00:51:02.844,171.0474000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,5
1562586,usa,bosnia_herzegovina,FT,2,0,90,2026-07-02 02:00:00,2026-07-02 04:07:03.122,127.0520333333333333,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,t,t,t,2
1567311,spain,austria,FT,3,0,90,2026-07-02 21:00:00,2026-07-02 22:59:02.31,119.0385000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1567309,portugal,croatia,FT,2,1,90,2026-07-03 01:00:00,2026-07-03 03:10:05.991,130.0998500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,4
1567312,switzerland,algeria,FT,2,0,90,2026-07-03 05:00:00,2026-07-03 06:57:03.751,117.0625166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1565178,australia,egypt,PEN,1,1,120,2026-07-03 20:00:00,2026-07-03 22:53:02.656,173.0442666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1565179,argentina,cape_verde,AET,3,2,120,2026-07-04 00:00:00,2026-07-04 02:45:10.44,165.1740000000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,5
1567310,colombia,ghana,FT,1,0,90,2026-07-04 03:30:00,2026-07-04 05:33:03.418,123.0569666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1567824,canada,morocco,FT,0,3,90,2026-07-04 19:00:00,2026-07-04 21:05:05.686,125.0947666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1569870,paraguay,france,FT,0,1,90,2026-07-04 23:00:00,2026-07-05 01:05:03.781,125.0630166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,0
1568100,brazil,norway,FT,1,2,90,2026-07-05 22:00:00,2026-07-06 00:05:05.75,125.0958333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1570714,mexico,england,FT,2,3,90,2026-07-06 03:00:00,2026-07-06 05:06:03.961,126.0660166666666667,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,t,t,t,5
1576756,portugal,spain,FT,0,1,90,2026-07-06 21:00:00,2026-07-06 23:02:04.103,122.0683833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,1
1570715,usa,belgium,FT,1,4,90,2026-07-07 02:00:00,2026-07-07 03:59:02.934,119.0489000000000000,"[""HT"", ""HT_PUSH"", ""FT_PUSH""]",f,t,t,t,t,5
1576804,argentina,egypt,FT,3,2,90,2026-07-07 18:00:00,2026-07-07 20:06:04.112,126.0685333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,5
1576805,switzerland,colombia,PEN,0,0,120,2026-07-07 22:00:00,2026-07-08 00:51:02.629,171.0438166666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,0
1578539,france,morocco,FT,2,0,90,2026-07-09 22:00:00,2026-07-10 00:02:02.547,122.0424500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1581821,spain,belgium,FT,2,1,90,2026-07-10 21:00:00,2026-07-10 23:00:06.047,120.1007833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1581037,norway,england,AET,1,2,120,2026-07-11 23:00:00,2026-07-12 01:47:03.992,167.0665333333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1582681,argentina,switzerland,AET,3,1,120,2026-07-12 03:00:00,2026-07-12 05:45:05.823,165.0970500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,4
1585131,france,spain,FT,0,2,90,2026-07-14 21:00:00,2026-07-14 23:00:05.487,120.0914500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,2
1586077,england,argentina,FT,1,2,90,2026-07-15 21:00:00,2026-07-15 23:04:04.623,124.0770500000000000,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,3
1591865,france,england,FT,4,6,90,2026-07-18 23:00:00,2026-07-19 01:02:04.54,122.0756666666666667,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,10
1591866,spain,argentina,AET,1,0,120,2026-07-19 21:00:00,2026-07-20 00:04:04.919,184.0819833333333333,"[""PREKICK_PUSH"", ""HT"", ""HT_PUSH"", ""FT_PUSH""]",t,t,t,t,t,1
