id,team_id,entity_type,type,pipeline_source,consequence_type,push_eligible,created_sthlm,pushed_sthlm,push_latency_min,preview_fixture_id,match_id,everyone_talking,headline,push_title,push_text,immersive_context,talking_points
421f59b6-fca1-43ea-99d0-59a97e210362,congo_dr,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 03:29:04.821046,2026-06-28 04:15:06.226,46.0234159000000000,,1489419,f,Portugal could only draw 0-0 at Colombia.,Congo DR's group,Portugal could only draw 0-0 at Colombia in Congo DR's group.,,"[""Worth asking him how that shifts things for Congo DR.""]"
f5047e32-08f9-42ca-aaa4-ddc003554407,uzbekistan,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 03:29:04.951398,2026-06-28 04:15:06.485,46.0255600333333333,,1489419,f,Portugal could only draw 0-0 at Colombia.,Uzbekistan's group,Portugal could only draw 0-0 at Colombia in Uzbekistan's group.,,"[""Ask him what Uzbekistan need from their own game now.""]"
afacfb06-2ab0-48af-a661-633258033941,colombia,country,matchday,edge_function,,f,2026-06-28 03:29:05.14557,,,,1489419,t,Colombia drew 0-0 with Portugal,,,,"[""He gets to enjoy this one. Ask him who he wants to avoid in the draw.""]"
46faab77-08c9-4aef-a7d2-4f3a66bdad3a,portugal,country,matchday,edge_function,,f,2026-06-28 03:29:05.215449,,,,1489419,f,Portugal drew 0-0 with Colombia,,,,"[""Knockout football next. Worth asking him how far he thinks they can go.""]"
0954c4f1-c6dc-4662-9016-bb1afc2d3101,colombia,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 03:33:04.133051,2026-06-28 04:15:06.643,42.0418324833333333,,1539013,f,Congo DR beat Uzbekistan 3-1.,Colombia's group,Congo DR beat Uzbekistan 3-1 in Colombia's group.,,"[""Good moment to ask him where that leaves Colombia.""]"
3bd641f1-cdb2-4f60-abe1-572014fabe2c,portugal,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 03:33:04.238099,2026-06-28 04:15:06.733,42.0415816833333333,,1539013,f,Congo DR beat Uzbekistan 3-1.,Portugal's group,Congo DR beat Uzbekistan 3-1 in Portugal's group.,,"[""Ask him what Portugal need from their own game now.""]"
09c7933f-ded3-42ba-a475-9c1e739d67a4,congo_dr,country,matchday,edge_function,,f,2026-06-28 03:33:04.450565,,,,1539013,t,Congo DR beat Uzbekistan 3-1,,,,"[""Ask him what they need from their next game.""]"
4a4224b5-1596-4d02-bb5a-4f122b3a320f,uzbekistan,country,matchday,edge_function,,f,2026-06-28 03:33:04.523676,,,,1539013,f,Uzbekistan lost 1-3 to Congo DR,,,,"[""Keep it kind, their World Championship is over.""]"
72a0426b-540c-4353-801c-63ecac26bb1c,austria,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 05:58:05.105882,2026-06-28 06:15:03.811,16.9784186333333333,,1489421,f,Argentina beat Jordan 3-1.,Austria's group,Argentina beat Jordan 3-1 in Austria's group.,,"[""Ask him what that result does to Austria's group.""]"
f13190e3-915b-44f5-b980-ed6c2fb9b70a,algeria,country,news,edge_function,WC_RIVAL_RESULT,t,2026-06-28 05:58:05.225098,2026-06-28 06:15:04.138,16.9818817000000000,,1489421,f,Argentina beat Jordan 3-1.,Algeria's group,Argentina beat Jordan 3-1 in Algeria's group.,,"[""Ask him what Algeria need from their own game now.""]"
