day_sthlm,status,count
2026-06-28,success,7
2026-06-29,success,1
2026-06-30,partial,1
2026-06-30,success,9
2026-07-01,success,12
2026-07-02,success,3
2026-07-03,success,2
2026-07-04,success,2
2026-07-05,success,1
2026-07-06,success,9
2026-07-07,success,2
2026-07-08,success,1
2026-07-09,success,2
2026-07-10,success,2
2026-07-11,success,6
2026-07-12,failure,1
2026-07-12,success,2
2026-07-25,success,1
2026-07-27,success,1
2026-07-31,success,1
2026-08-13,success,1
2026-08-20,success,1
2026-08-26,success,1
