schema,table,total,total_bytes,heap,indexes,toast,n_live_tup,n_dead_tup,last_autovacuum,last_autoanalyze
public,raw_fetch_logs,169 MB,177192960,63 MB,16 MB,91 MB,0,0,,
cron,job_run_details,88 MB,91807744,84 MB,3928 kB,8192 bytes,0,0,,
public,pipeline_health,27 MB,28057600,15 MB,12 MB,8192 bytes,0,0,,
public,content_items,6504 kB,6660096,5416 kB,576 kB,480 kB,0,0,,
public,team_insider_items,2464 kB,2523136,2024 kB,400 kB,8192 bytes,0,0,,
public,team_pages,952 kB,974848,224 kB,16 kB,680 kB,0,0,,
public,saturday_quiz_items,584 kB,598016,480 kB,72 kB,8192 bytes,0,0,,
public,players,384 kB,393216,248 kB,96 kB,8192 bytes,0,0,,
public,team_season_state,224 kB,229376,168 kB,16 kB,8192 bytes,0,0,,
public,match_status_state,208 kB,212992,120 kB,48 kB,8192 bytes,0,0,,
public,live_activity_tokens,184 kB,188416,24 kB,120 kB,8192 bytes,0,0,,
public,live_match_briefs,168 kB,172032,72 kB,64 kB,8192 bytes,0,0,,
public,device_tokens,160 kB,163840,16 kB,112 kB,8192 bytes,0,0,,
public,player_cards,144 kB,147456,56 kB,48 kB,8192 bytes,0,0,,
supabase_migrations,schema_migrations,120 kB,122880,24 kB,16 kB,56 kB,0,0,,
public,analogy_rejections,104 kB,106496,56 kB,16 kB,8192 bytes,0,0,,
auth,users,96 kB,98304,0 bytes,88 kB,8192 bytes,0,0,,
public,client_errors,96 kB,98304,16 kB,48 kB,8192 bytes,0,0,,
auth,one_time_tokens,88 kB,90112,0 bytes,80 kB,8192 bytes,0,0,,
public,team_context,64 kB,65536,8192 bytes,16 kB,8192 bytes,0,0,,
auth,refresh_tokens,64 kB,65536,0 bytes,56 kB,8192 bytes,0,0,,
auth,mfa_factors,56 kB,57344,0 bytes,48 kB,8192 bytes,0,0,,
auth,custom_oauth_providers,56 kB,57344,0 bytes,48 kB,8192 bytes,0,0,,
cron,job,48 kB,49152,8192 bytes,32 kB,8192 bytes,0,0,,
storage,objects,48 kB,49152,0 bytes,40 kB,8192 bytes,0,0,,
net,_http_response,48 kB,49152,8192 bytes,24 kB,16 kB,0,0,,
vault,secrets,48 kB,49152,8192 bytes,32 kB,8192 bytes,0,0,,
auth,sessions,48 kB,49152,0 bytes,40 kB,8192 bytes,0,0,,
auth,oauth_consents,48 kB,49152,0 bytes,40 kB,8192 bytes,0,0,,
storage,migrations,40 kB,40960,8192 bytes,32 kB,0 bytes,0,0,,
auth,saml_relay_states,40 kB,40960,0 bytes,32 kB,8192 bytes,0,0,,
auth,identities,40 kB,40960,0 bytes,32 kB,8192 bytes,0,0,,
auth,oauth_authorizations,40 kB,40960,0 bytes,32 kB,8192 bytes,0,0,,
auth,flow_state,40 kB,40960,0 bytes,32 kB,8192 bytes,0,0,,
public,teams,32 kB,32768,8192 bytes,16 kB,8192 bytes,0,0,,
auth,sso_domains,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
auth,webauthn_challenges,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
public,matchday_reminders_sent,32 kB,32768,8192 bytes,16 kB,8192 bytes,0,0,,
auth,webauthn_credentials,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
auth,sso_providers,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
auth,saml_providers,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
realtime,subscription,32 kB,32768,0 bytes,24 kB,8192 bytes,0,0,,
public,apns_jwt_cache,32 kB,32768,8192 bytes,16 kB,8192 bytes,0,0,,
storage,buckets_analytics,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
auth,oauth_client_states,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
storage,s3_multipart_uploads,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
storage,vector_indexes,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
auth,oauth_clients,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
storage,buckets,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
auth,mfa_challenges,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
auth,mfa_amr_claims,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
net,http_request_queue,24 kB,24576,8192 bytes,0 bytes,16 kB,1,0,,
realtime,schema_migrations,24 kB,24576,8192 bytes,16 kB,0 bytes,0,0,,
auth,audit_log_entries,24 kB,24576,0 bytes,16 kB,8192 bytes,0,0,,
auth,schema_migrations,24 kB,24576,8192 bytes,16 kB,0 bytes,0,0,,
auth,instances,16 kB,16384,0 bytes,8192 bytes,8192 bytes,0,0,,
storage,buckets_vectors,16 kB,16384,0 bytes,8192 bytes,8192 bytes,0,0,,
storage,s3_multipart_uploads_parts,16 kB,16384,0 bytes,8192 bytes,8192 bytes,0,0,,
public,dev_alert_devices,16 kB,16384,0 bytes,8192 bytes,8192 bytes,0,0,,
