day_sthlm,rows,bytes_est,teams
2026-04-15,2,1024 bytes,2
2026-04-20,27,1108 kB,20
2026-04-28,160,434 kB,20
2026-05-19,1,792 bytes,1
2026-05-20,1,352 bytes,1
2026-05-24,1,424 bytes,1
2026-05-27,1,448 bytes,1
2026-05-30,1,552 bytes,1
2026-06-03,1,488 bytes,1
2026-06-07,1,496 bytes,1
2026-06-10,1,448 bytes,1
2026-06-11,5,3416 bytes,1
2026-06-12,1,784 bytes,1
2026-06-13,1,560 bytes,1
2026-06-14,2,2016 bytes,2
2026-06-15,2,1088 bytes,2
2026-06-16,8,4384 bytes,4
2026-06-17,50,283 kB,5
2026-06-21,2,2056 bytes,2
2026-06-22,2,776 bytes,2
2026-06-23,3,1424 bytes,3
2026-06-24,1,472 bytes,1
2026-06-25,6,2824 bytes,3
2026-06-26,6,2744 bytes,6
2026-06-27,8,3632 bytes,4
2026-06-28,5,2280 bytes,4
2026-06-29,3,1528 bytes,3
2026-06-30,8,5088 bytes,7
2026-07-01,6,5224 bytes,6
2026-07-02,6,3968 bytes,4
2026-07-03,4,2880 bytes,4
2026-07-04,5,2864 bytes,5
2026-07-05,3,1472 bytes,2
2026-07-06,4,3088 bytes,4
2026-07-07,5,2544 bytes,4
2026-07-08,1,472 bytes,1
2026-07-09,1,512 bytes,1
2026-07-10,2,816 bytes,2
2026-07-11,3,1368 bytes,3
2026-07-12,2,848 bytes,2
2026-07-13,4,1872 bytes,4
2026-07-14,5,2672 bytes,4
2026-07-15,3,2352 bytes,3
2026-07-16,2,1344 bytes,2
2026-07-17,2,1056 bytes,2
2026-07-18,1,480 bytes,1
2026-07-19,2,1976 bytes,1
2026-07-20,2,880 bytes,2
2026-07-21,2,1024 bytes,2
2026-07-22,2,640 bytes,2
2026-07-23,4,4712 bytes,4
2026-07-25,2,856 bytes,2
2026-07-26,3,2048 bytes,3
2026-07-28,3,1904 bytes,3
2026-07-29,2,824 bytes,2
2026-07-31,3,1376 bytes,3
2026-08-01,2,760 bytes,2
2026-08-03,1,1072 bytes,1
2026-08-04,2,1848 bytes,2
2026-08-05,7,3392 bytes,6
2026-08-06,6,3888 bytes,6
2026-08-07,6,2632 bytes,6
2026-08-08,3,1168 bytes,3
2026-08-09,8,3872 bytes,6
2026-08-11,4,2920 bytes,4
2026-08-12,6,2560 bytes,5
2026-08-13,3,1296 bytes,3
2026-08-14,5,3352 bytes,4
2026-08-15,5,3288 bytes,4
2026-08-16,7,3728 bytes,7
2026-08-17,7,4656 bytes,6
2026-08-18,6,3056 bytes,4
2026-08-19,6,4320 bytes,6
2026-08-20,8,6000 bytes,8
2026-08-21,6,5816 bytes,6
2026-08-22,9,6368 bytes,8
2026-08-23,1672,2546 kB,66
2026-08-24,1956,2118 kB,68
2026-08-25,2452,1746 kB,68
2026-08-26,2024,1364 kB,68
2026-08-27,3290,2221 kB,68
2026-08-28,2610,1847 kB,68
2026-08-29,1970,1381 kB,68
