relname,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,seq_scan,idx_scan,n_live_tup,n_dead_tup
http_request_queue,1,0,0,0,0,,1,0
audit_log_entries,0,0,0,0,0,0,0,0
mfa_amr_claims,0,0,0,0,0,0,0,0
users,0,0,0,0,3,1,0,0
mfa_challenges,0,0,0,0,0,0,0,0
content_items,0,0,0,0,9,695,0,0
dev_alert_devices,0,0,0,0,0,0,0,0
job_run_details,0,0,0,0,2,0,0,0
_http_response,0,0,0,0,0,58,0,0
saml_relay_states,0,0,0,0,0,0,0,0
saturday_quiz_items,0,0,0,0,1,1,0,0
buckets_vectors,0,0,0,0,0,0,0,0
webauthn_challenges,0,0,0,0,0,0,0,0
identities,0,0,0,0,0,0,0,0
schema_migrations,0,0,0,0,71,0,0,0
vector_indexes,0,0,0,0,0,0,0,0
analogy_rejections,0,0,0,0,0,0,0,0
team_insider_items,0,0,0,0,0,26,0,0
team_pages,0,0,0,0,0,0,0,0
objects,0,0,0,0,0,0,0,0
buckets,0,0,0,0,3,3,0,0
apns_jwt_cache,0,0,0,0,0,0,0,0
team_season_state,0,0,0,0,0,27,0,0
teams,0,0,0,0,20,95,0,0
subscription,0,0,0,0,0,5,0,0
mfa_factors,0,0,0,0,0,0,0,0
flow_state,0,0,0,0,0,0,0,0
pipeline_health,0,0,0,0,3,9,0,0
client_errors,0,0,0,0,0,0,0,0
messages,0,0,0,0,0,0,0,0
matchday_reminders_sent,0,0,0,0,2,0,0,0
live_activity_tokens,0,0,0,0,0,0,0,0
oauth_authorizations,0,0,0,0,0,0,0,0
job,0,0,0,0,1,1,0,0
oauth_clients,0,0,0,0,0,0,0,0
sso_providers,0,0,0,0,0,0,0,0
webauthn_credentials,0,0,0,0,0,0,0,0
team_context,0,0,0,0,0,0,0,0
instances,0,0,0,0,0,0,0,0
one_time_tokens,0,0,0,0,0,0,0,0
