jobname,active,last_run_utc,last_run_sthlm,last_success_sthlm,runs_total,first_run_utc
match-watcher-1min,t,2026-09-06 09:51:01.0496+00,2026-09-06 11:51:01.0496,2026-09-06 11:51:01.0496,158901,2026-05-11 20:19:01.015197+00
goaldigger-cron-heartbeat-check,t,2026-08-30 14:31:04.608442+00,2026-08-30 16:31:04.608442,2026-08-29 13:30:00.232514,5304,2026-05-11 20:30:00.082977+00
notification-sweep,t,2026-08-30 14:15:07.415603+00,2026-08-30 16:15:07.415603,2026-08-30 06:15:02.810805,2650,2026-05-11 21:15:00.301877+00
goaldigger-daily-pipeline,t,2026-08-30 14:00:00.000168+00,2026-08-30 16:00:00.000168,2026-08-30 10:00:07.845457,933,2026-05-18 22:00:00.156766+00
gd-morning-push,t,2026-08-30 08:00:06.134734+00,2026-08-30 10:00:06.134734,2026-08-30 10:00:06.134734,104,2026-05-19 08:00:00.227436+00
goaldigger-matchday-reminder,t,2026-08-30 07:00:18.552997+00,2026-08-30 09:00:18.552997,2026-08-29 09:00:00.177188,77,2026-06-15 07:00:00.212115+00
goaldigger-archive-old-content,t,2026-08-30 06:00:00.000462+00,2026-08-30 08:00:00.000462,2026-08-29 08:00:00.210927,131,2026-04-22 06:00:00.120044+00
match-status-reaper,t,2026-08-30 05:00:00.000257+00,2026-08-30 07:00:00.000257,2026-08-29 07:00:00.17524,74,2026-06-18 05:00:00.300131+00
content-audit-nightly,t,2026-08-30 03:30:00.204416+00,2026-08-30 05:30:00.204416,2026-08-30 05:30:00.204416,86,2026-06-06 03:30:00.306646+00
raw_fetch_logs_retention_sweep,t,2026-08-30 03:15:00.495181+00,2026-08-30 05:15:00.495181,2026-08-30 05:15:00.495181,90,2026-06-02 03:15:00.09621+00
pipeline_health_retention_sweep,t,2026-08-30 03:00:00.811634+00,2026-08-30 05:00:00.811634,2026-08-30 05:00:00.811634,105,2026-05-18 03:00:00.140271+00
