jobname,return_message,n,first_sthlm,last_sthlm
goaldigger-archive-old-content,job startup timeout,1,2026-08-30 08:00:00.000462,2026-08-30 08:00:00.000462
goaldigger-cron-heartbeat-check,job startup timeout,155,2026-08-23 16:30:00.000077,2026-08-30 16:31:04.608442
goaldigger-cron-heartbeat-check,"ERROR:  unrecognized format() type specifier "".""
HINT:  For a single ""%"" use ""%%"".
CONTEXT:  SQL statement ""INSERT INTO client_errors (error_type, message, app_version)
                VALUES (
      ",13,2026-08-25 19:30:05.164031,2026-08-30 06:30:00.143351
goaldigger-cron-heartbeat-check,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""WITH fire_outcomes AS (
        SELECT
            target,
            stage,
            COUNT(*) FILTER (WHERE status = ",1,2026-08-30 10:00:05.332345,2026-08-30 10:00:05.332345
goaldigger-cron-heartbeat-check,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""SELECT MAX(created_at)                     FROM pipeline_health
    WHERE stage = 'fetch' AND status = 'success'""
PL/pgSQL",1,2026-08-25 19:03:00.617169,2026-08-25 19:03:00.617169
goaldigger-daily-pipeline,job startup timeout,39,2026-08-23 18:00:09.74092,2026-08-30 16:00:00.000168
goaldigger-matchday-reminder,job startup timeout,1,2026-08-30 09:00:18.552997,2026-08-30 09:00:18.552997
match-status-reaper,job startup timeout,1,2026-08-30 07:00:00.000257,2026-08-30 07:00:00.000257
match-watcher-1min,job startup timeout,3976,2026-08-23 16:06:00.000436,2026-09-06 11:49:00.000262
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""insert into net.http_request_queue(method, url, headers, body, timeout_milliseconds)
    values (
        'POST',
        ",8,2026-08-25 17:32:54.050957,2026-08-30 12:54:35.266461
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""SELECT decrypted_secret              FROM vault.decrypted_secrets
    WHERE name = 'cron_service_key'
    LIMIT 1""
PL/pgSQ",6,2026-08-26 13:58:42.428838,2026-08-30 16:22:31.925871
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
",3,2026-08-25 21:40:48.557194,2026-08-30 09:50:13.242285
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""select
        coalesce(array_agg(net._urlencode_string(key) || '=' || net._urlencode_string(value)), '{}')
              ",3,2026-08-23 21:24:06.369376,2026-08-30 15:55:03.917557
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  PL/pgSQL function net.http_post(text,jsonb,jsonb,jsonb,integer) line 20 at IF
",1,2026-08-30 13:30:56.0605,2026-08-30 13:30:56.0605
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  PL/pgSQL function net.http_post(text,jsonb,jsonb,jsonb,integer) line 6 at statement block
",1,2026-08-30 08:52:07.355122,2026-08-30 08:52:07.355122
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL expression ""content_type <> 'application/json'""
PL/pgSQL function net.http_post(text,jsonb,jsonb,jsonb,integer) line 25 at IF
",1,2026-08-28 18:56:22.077181,2026-08-28 18:56:22.077181
match-watcher-1min,"ERROR:  canceling statement due to statement timeout
CONTEXT:  SQL statement ""select
        header_value                       from
        jsonb_each_text(coalesce(headers, '{}'::jsonb)) r(header_na",1,2026-08-30 12:21:09.496914,2026-08-30 12:21:09.496914
notification-sweep,job startup timeout,79,2026-08-23 16:15:07.289308,2026-08-30 16:15:07.415603
