source,entity_type,rows,bytes_est,bytes,oldest_utc,newest_utc
guardian,club,562,2214 kB,2266784,2026-06-11 18:00:31.122989+00,2026-08-29 10:01:51.372119+00
api_football_transfers,club,445,1889 kB,1934320,2026-06-17 08:00:14.84799+00,2026-08-29 10:01:51.496931+00
daily_mail,club,542,1486 kB,1522040,2026-06-12 22:00:29.560725+00,2026-08-29 10:01:51.393385+00
api_football,club,20,1104 kB,1130800,2026-04-20 20:11:15.280392+00,2026-04-20 20:12:27.033244+00
guardian,country,412,1010 kB,1034576,2026-06-21 14:01:43.771615+00,2026-08-29 10:01:49.288283+00
telegraph,country,869,563 kB,576536,2026-06-13 22:01:17.241581+00,2026-08-29 10:01:46.406726+00
daily_mail,country,430,481 kB,492592,2026-06-22 22:01:00.343736+00,2026-08-29 10:01:49.307332+00
bbc_sport,club,453,477 kB,488552,2026-06-11 10:00:25.242894+00,2026-08-29 10:01:50.585893+00
api_football_standings,country,1108,406 kB,415984,2026-08-23 06:00:49.621415+00,2026-08-29 10:01:50.016688+00
api_football_squad,country,1104,403 kB,412760,2026-08-23 06:00:49.667374+00,2026-08-29 10:01:50.052385+00
api_football_injuries,country,1108,399 kB,408520,2026-08-23 06:00:49.598119+00,2026-08-29 10:01:50.000583+00
api_football_coachs,country,1104,397 kB,406584,2026-08-23 06:00:49.689525+00,2026-08-29 10:01:50.072391+00
api_football_transfers,country,1108,390 kB,399656,2026-08-23 06:00:49.644019+00,2026-08-29 10:01:50.033948+00
api_football_fixtures_last,country,1108,382 kB,391496,2026-08-23 06:00:49.576108+00,2026-08-29 10:01:49.981893+00
api_football_fixtures_next,country,1108,382 kB,391488,2026-08-23 06:00:49.553783+00,2026-08-29 10:01:49.964599+00
telegraph,club,329,355 kB,364016,2026-05-19 22:00:17.481088+00,2026-08-29 10:01:51.411169+00
mirror,club,262,300 kB,307624,2026-06-03 06:00:36.582+00,2026-08-29 10:00:59.339105+00
independent,club,349,299 kB,306248,2026-05-30 06:00:52.998943+00,2026-08-29 10:01:04.79189+00
api_football_squad,club,437,204 kB,208608,2026-06-17 08:00:14.899145+00,2026-08-29 10:01:51.513861+00
espn_fc,club,241,202 kB,207344,2026-05-19 20:00:39.875078+00,2026-08-29 10:00:55.755397+00
bbc_sport,country,310,192 kB,196952,2026-06-26 10:01:00.699909+00,2026-08-29 10:01:45.658047+00
api_football_injuries,club,445,188 kB,192112,2026-06-17 08:00:14.704418+00,2026-08-29 10:01:51.463589+00
api_football_coachs,club,437,180 kB,184440,2026-06-17 08:00:14.924564+00,2026-08-29 10:01:51.531545+00
api_football_standings,club,445,174 kB,178432,2026-06-17 08:00:14.731615+00,2026-08-29 10:01:51.479902+00
api_football_fixtures_last,club,445,158 kB,161632,2026-06-17 08:00:14.663391+00,2026-08-29 10:01:51.445073+00
api_football_fixtures_next,club,445,154 kB,158008,2026-06-17 08:00:14.637764+00,2026-08-29 10:01:51.427481+00
sky_sports,club,230,142 kB,145232,2026-06-07 10:00:28.615687+00,2026-08-29 10:01:51.353252+00
api_football_topscorers,club,20,119 kB,122016,2026-04-28 21:40:40.605476+00,2026-04-28 21:41:21.664606+00
api_football_topassists,club,20,117 kB,119616,2026-04-28 21:40:40.663959+00,2026-04-28 21:41:21.727876+00
independent,country,142,71 kB,73040,2026-06-27 06:01:58.450145+00,2026-08-29 10:01:49.325604+00
api_football_predictions,club,20,69 kB,70368,2026-04-28 21:40:41.077729+00,2026-04-28 21:41:22.140577+00
espn_fc,country,130,62 kB,63088,2026-06-21 16:02:24.865055+00,2026-08-29 10:01:42.5806+00
mirror,country,88,49 kB,49784,2026-06-21 22:01:31.021286+00,2026-08-29 10:01:37.045325+00
sky_sports,country,88,47 kB,47664,2026-06-25 10:00:48.838094+00,2026-08-29 10:01:25.909595+00
api_football_fixtures_lineups,club,20,33 kB,33976,2026-04-28 21:40:41.175343+00,2026-04-28 21:41:22.079532+00
api_football_teams_statistics,club,20,30 kB,30864,2026-04-28 21:40:40.553899+00,2026-04-28 21:41:21.59703+00
api_football_fixtures_events,club,20,26 kB,26168,2026-04-28 21:40:41.024532+00,2026-04-28 21:41:21.958282+00
api_football_fixtures_headtohead,club,20,23 kB,23184,2026-04-28 21:40:40.973394+00,2026-04-28 21:41:21.9036+00
api_football_fixtures_statistics,club,20,18 kB,18632,2026-04-28 21:40:41.126514+00,2026-04-28 21:41:22.02427+00
espn,club,9,4448 bytes,4448,2026-04-15 20:25:35.399479+00,2026-04-20 20:12:18.716937+00
sky_sports,tournament,1,544 bytes,544,2026-08-23 06:00:21.09389+00,2026-08-23 06:00:21.09389+00
independent,tournament,1,456 bytes,456,2026-08-07 12:00:15.315791+00,2026-08-07 12:00:15.315791+00
