created_sthlm,team_id,status,target,message
2026-06-12 00:50:48.81951,mexico,success,apns:e7b0ed499f25:3f5b375c-6b6e-4f28-b574-f823fe3cd289,
2026-06-12 00:51:30.444769,south_africa,success,apns:23a0a4e56341:fdf7cc98-f2e9-4f93-bc19-94c05ba1fec3,
2026-06-12 06:15:05.215583,south_africa,success,apns:23a0a4e56341:fef406b0-1e2e-4766-bb51-eb4def839c71,
2026-06-13 00:51:04.290278,south_korea,success,apns:e7b0ed499f25:99951656-10b7-4440-983a-d030d28ffc4c,
2026-06-15 00:15:04.88411,sweden,success,apns:ae2e8d2ed303:57d539ce-7b7a-4cbd-b05c-b6438970d585,
2026-06-15 00:15:05.214386,sweden,success,apns:8188d30e8b40:57d539ce-7b7a-4cbd-b05c-b6438970d585,
2026-06-15 00:15:05.393048,sweden,failure,apns:ffd2f9471e97:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:11.016722,sweden,failure,apns:378af6178ae9:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:16.664443,sweden,failure,apns:464ec5e89b7f:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:22.393742,sweden,failure,apns:db0d34e07a9d:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:28.041874,sweden,failure,apns:c6f33cf43493:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:33.676979,sweden,failure,apns:d6da3535abe1:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:39.458391,sweden,failure,apns:b73c9f82f956:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:45.136483,sweden,failure,apns:e7b0ed499f25:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 00:15:50.848704,sweden,failure,apns:151c02168016:57d539ce-7b7a-4cbd-b05c-b6438970d585,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:20.065444,sweden,success,apns:ae2e8d2ed303:73836b9e-a18a-4b1d-96de-83ea56dc8d06,
2026-06-15 08:48:20.315668,sweden,success,apns:8188d30e8b40:73836b9e-a18a-4b1d-96de-83ea56dc8d06,
2026-06-15 08:48:20.540182,sweden,failure,apns:ffd2f9471e97:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:25.962809,sweden,failure,apns:378af6178ae9:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:31.483943,sweden,failure,apns:464ec5e89b7f:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:36.965049,sweden,failure,apns:db0d34e07a9d:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:42.494465,sweden,failure,apns:c6f33cf43493:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:48.050751,sweden,failure,apns:d6da3535abe1:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:53.574492,sweden,failure,apns:b73c9f82f956:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:48:59.298008,sweden,failure,apns:e7b0ed499f25:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-15 08:49:05.173028,sweden,failure,apns:151c02168016:73836b9e-a18a-4b1d-96de-83ea56dc8d06,APNs 429 TooManyProviderTokenUpdates
2026-06-17 21:30:07.219303,england,success,wc_kickoff:england:1489384,"WC kickoff: 2 sent, 0 failed of 2"
2026-06-17 22:12:03.503973,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-17 22:37:05.208125,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-17 22:42:05.983675,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-17 22:51:03.903619,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-17 22:52:03.583705,england,success,wc_ht:england:1489384,"WC ht: 2 sent, 0 failed of 2"
2026-06-17 23:12:04.714218,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-17 23:50:19.589805,england,success,wc_goal:england:1489384,"WC goal: 2 sent, 0 failed of 2"
2026-06-18 00:01:04.797008,england,success,wc_ft:england:1489384,"WC ft: 2 sent, 0 failed of 2"
2026-06-18 03:15:09.636375,england,success,item:5c558654-5c5f-4f6c-b927-ffdb5888d637,"APNs: 2 sent, 0 failed of 2"
2026-06-18 17:30:15.073151,south_africa,success,wc_kickoff:south_africa:1539004,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-18 18:06:05.16298,south_africa,success,wc_goal:south_africa:1539004,"WC goal: 1 sent, 0 failed of 1"
2026-06-18 18:51:06.429513,south_africa,success,wc_ht:south_africa:1539004,"WC ht: 1 sent, 0 failed of 1"
2026-06-18 19:45:09.223538,south_africa,success,wc_goal:south_africa:1539004,"WC goal: 1 sent, 0 failed of 1"
2026-06-18 19:59:04.342461,south_africa,success,wc_ft:south_africa:1539004,"WC ft: 1 sent, 0 failed of 1"
2026-06-19 00:46:12.988087,england,success,item:01fa6904-8bb4-44a7-a62b-3973a6ed838c,"APNs: 2 sent, 0 failed of 2"
2026-06-19 05:15:12.260517,south_africa,success,item:f257ccb1-8e8a-43b1-b544-6d573018f525,"APNs: 1 sent, 0 failed of 1"
2026-06-19 08:49:43.255069,england,success,item:c67b3956-2efb-435b-b333-1994405b95b1,"APNs: 1 sent, 0 failed of 1"
2026-06-20 00:52:17.100917,england,success,item:0590810d-232b-4194-8532-7e765b59d713,"APNs: 1 sent, 0 failed of 1"
2026-06-20 18:30:15.442274,sweden,partial,wc_kickoff:sweden:1539007,"WC kickoff: 2 sent, 8 failed of 10"
2026-06-20 19:06:06.345081,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 19:17:05.156569,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 19:51:06.706299,sweden,success,wc_ht:sweden:1539007,"WC ht: 10 sent, 0 failed of 10"
2026-06-20 20:09:04.020151,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 20:16:03.310331,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 20:20:05.572754,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 20:51:05.319474,sweden,success,wc_goal:sweden:1539007,"WC goal: 10 sent, 0 failed of 10"
2026-06-20 20:58:06.027481,sweden,success,wc_ft:sweden:1539007,"WC ft: 10 sent, 0 failed of 10"
2026-06-21 00:45:37.383581,england,success,item:b369a394-a860-4601-98ab-47fac7ce7b37,"APNs: 1 sent, 0 failed of 1"
2026-06-21 08:15:15.104016,sweden,partial,item:223e5943-db73-4d5c-a68a-d449f524660e,"APNs: 3 sent, 7 failed of 10 (429:7)"
2026-06-22 00:47:42.265667,england,success,item:c2842cfe-aea6-4867-8884-f80b8f3486d8,"APNs: 1 sent, 0 failed of 1"
2026-06-22 08:48:46.413793,england,success,item:d42d9c49-d667-43f1-967d-9bd10f85288f,"APNs: 1 sent, 0 failed of 1"
2026-06-23 00:43:45.377211,england,success,item:4b85dd4d-d5d1-48f9-a157-a2c392b050e3,"APNs: 1 sent, 0 failed of 1"
2026-06-23 21:30:16.852985,england,success,wc_kickoff:england:1489402,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-23 22:53:06.294499,england,success,wc_ht:england:1489402,"WC ht: 1 sent, 0 failed of 1"
2026-06-24 00:01:06.410499,england,success,wc_ft:england:1489402,"WC ft: 1 sent, 0 failed of 1"
2026-06-24 03:15:05.629019,england,success,item:a7735f2c-d93b-4495-ab7e-a9e02b74d128,"APNs: 1 sent, 0 failed of 1"
2026-06-24 09:29:29.196965,south_africa,success,item:7132f276-dd4b-47a6-8fac-65b9220c1e3a,"APNs: 1 sent, 0 failed of 1"
2026-06-25 00:48:09.542032,england,success,item:026a3d0f-223e-41a1-82c5-48ba808f74b2,"APNs: 1 sent, 0 failed of 1"
2026-06-25 02:30:08.940075,south_africa,success,wc_kickoff:south_africa:1489407,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-25 03:50:09.625801,south_africa,success,wc_ht:south_africa:1489407,"WC ht: 1 sent, 0 failed of 1"
2026-06-25 04:24:03.127916,south_africa,success,wc_goal:south_africa:1489407,"WC goal: 1 sent, 0 failed of 1"
2026-06-25 04:58:06.027284,south_africa,success,wc_ft:south_africa:1489407,"WC ft: 1 sent, 0 failed of 1"
2026-06-25 05:15:07.855093,south_africa,success,item:3c01f273-f489-432c-b00d-2e9e2ec644c2,"APNs: 1 sent, 0 failed of 1"
2026-06-25 08:55:16.101136,south_africa,success,item:2db51d04-e42b-40e2-b5e8-03b21f2d66f5,"APNs: 1 sent, 0 failed of 1"
2026-06-26 00:30:03.709561,sweden,partial,wc_kickoff:sweden:1539011,"WC kickoff: 2 sent, 8 failed of 10"
2026-06-26 00:51:02.650954,england,success,item:581ff71d-606f-4b37-91bc-767656e2b887,"APNs: 1 sent, 0 failed of 1"
2026-06-26 01:51:05.326246,sweden,success,wc_ht:sweden:1539011,"WC ht: 10 sent, 0 failed of 10"
2026-06-26 02:17:04.857243,sweden,success,wc_goal:sweden:1539011,"WC goal: 10 sent, 0 failed of 10"
2026-06-26 02:23:04.455775,sweden,success,wc_goal:sweden:1539011,"WC goal: 10 sent, 0 failed of 10"
2026-06-26 02:59:04.943463,sweden,success,wc_ft:sweden:1539011,"WC ft: 10 sent, 0 failed of 10"
2026-06-26 03:15:15.495871,sweden,partial,item:548ffe77-34ca-4782-86b6-235e9599afb3,"APNs: 3 sent, 7 failed of 10 (429:7)"
2026-06-26 08:51:32.174106,england,success,item:f222071a-ee05-4eea-b6d7-eac8b0ee4e6d,"APNs: 1 sent, 0 failed of 1"
2026-06-27 00:49:17.492745,england,success,item:8e285d34-b48d-4587-b5ec-d3b89ab043be,"APNs: 1 sent, 0 failed of 1"
2026-06-27 08:48:35.825732,england,success,item:1329cbcc-7787-4c6d-a96e-4caca3857321,"APNs: 1 sent, 0 failed of 1"
2026-06-27 22:30:08.558822,england,success,wc_kickoff:england:1489422,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-27 23:50:10.160371,england,success,wc_ht:england:1489422,"WC ht: 1 sent, 0 failed of 1"
2026-06-28 00:21:04.617631,england,success,wc_goal:england:1489422,"WC goal: 1 sent, 0 failed of 1"
2026-06-28 00:26:06.947356,england,success,wc_goal:england:1489422,"WC goal: 1 sent, 0 failed of 1"
2026-06-28 00:54:38.597074,south_africa,success,item:5d8c2d0e-785a-422f-b12c-3cd32f82d636,"APNs: 1 sent, 0 failed of 1"
2026-06-28 00:56:05.496627,england,success,wc_ft:england:1489422,"WC ft: 1 sent, 0 failed of 1"
2026-06-28 01:15:08.608703,england,success,item:6ef7b0e0-aa20-44d5-9f9d-46da7ab934af,"APNs: 1 sent, 0 failed of 1"
2026-06-28 11:29:45.302676,england,success,item:fd186e96-5c7f-47a1-b201-81b65455e022,"APNs: 1 sent, 0 failed of 1"
2026-06-28 11:30:28.526244,south_africa,success,item:a3a9ce9b-b73b-4b95-b618-11e06325cdad,"APNs: 1 sent, 0 failed of 1"
2026-06-28 11:30:37.181403,sweden,success,item:f78f0547-73ae-4dcb-91f5-ef633b937aa0,"APNs: 10 sent, 0 failed of 10"
2026-06-28 20:30:12.404896,south_africa,success,wc_kickoff:south_africa:1561329,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-28 21:49:06.395022,south_africa,success,wc_ht:south_africa:1561329,"WC ht: 1 sent, 0 failed of 1"
2026-06-28 22:53:03.930322,south_africa,success,wc_goal:south_africa:1561329,"WC goal: 1 sent, 0 failed of 1"
2026-06-28 22:58:03.864585,south_africa,success,wc_ft:south_africa:1561329,"WC ft: 1 sent, 0 failed of 1"
2026-06-29 08:54:15.157088,england,success,item:6314dc8b-b046-4fde-9d7b-ca27d9bf8f67,"APNs: 1 sent, 0 failed of 1"
2026-06-30 00:46:28.402466,england,success,item:0f9d2301-d699-4ccf-a58a-308f16d1e66c,"APNs: 1 sent, 0 failed of 1"
2026-06-30 00:52:44.873075,netherlands,success,item:ac8ec3a2-a6e8-4fc3-8848-82262d9192a6,"APNs: 1 sent, 0 failed of 1"
2026-06-30 02:30:05.334303,netherlands,success,wc_kickoff:netherlands:1562345,"WC kickoff: 1 sent, 0 failed of 1"
2026-06-30 03:52:05.554937,netherlands,success,wc_ht:netherlands:1562345,"WC ht: 1 sent, 0 failed of 1"
2026-06-30 04:35:05.817886,netherlands,success,wc_goal:netherlands:1562345,"WC goal: 1 sent, 0 failed of 1"
2026-06-30 04:54:08.349725,netherlands,success,wc_goal:netherlands:1562345,"WC goal: 1 sent, 0 failed of 1"
2026-06-30 05:54:02.998938,netherlands,success,wc_ft:netherlands:1562345,"WC ft: 1 sent, 0 failed of 1"
2026-06-30 22:30:07.878721,sweden,partial,wc_kickoff:sweden:1565177,"WC kickoff: 3 sent, 7 failed of 10"
2026-06-30 23:46:05.532391,sweden,success,wc_goal:sweden:1565177,"WC goal: 10 sent, 0 failed of 10"
2026-06-30 23:50:06.264198,sweden,success,wc_ht:sweden:1565177,"WC ht: 10 sent, 0 failed of 10"
2026-07-01 00:12:04.458622,sweden,success,wc_goal:sweden:1565177,"WC goal: 10 sent, 0 failed of 10"
2026-07-01 00:33:03.556466,sweden,success,wc_goal:sweden:1565177,"WC goal: 10 sent, 0 failed of 10"
2026-07-01 00:51:15.803748,england,success,item:b73c90b9-9716-4236-8443-0a270c5c14eb,"APNs: 1 sent, 0 failed of 1"
2026-07-01 00:54:04.418842,sweden,success,wc_ft:sweden:1565177,"WC ft: 10 sent, 0 failed of 10"
2026-07-01 00:54:35.749796,netherlands,success,item:e056fd0d-327e-41e2-b864-4fb9b753520b,"APNs: 1 sent, 0 failed of 1"
2026-07-01 08:50:13.586075,england,success,item:b4530386-133e-4f1d-9717-0e40f2d7a188,"APNs: 1 sent, 0 failed of 1"
2026-07-01 17:30:08.41212,england,success,wc_kickoff:england:1567307,"WC kickoff: 1 sent, 0 failed of 1"
2026-07-01 18:08:04.818366,england,success,wc_goal:england:1567307,"WC goal: 1 sent, 0 failed of 1"
2026-07-01 18:53:05.485997,england,success,wc_ht:england:1567307,"WC ht: 1 sent, 0 failed of 1"
2026-07-01 19:38:05.029551,england,success,wc_goal:england:1567307,"WC goal: 1 sent, 0 failed of 1"
2026-07-01 19:50:10.463244,england,success,wc_goal:england:1567307,"WC goal: 1 sent, 0 failed of 1"
2026-07-01 20:01:03.493996,england,success,wc_ft:england:1567307,"WC ft: 1 sent, 0 failed of 1"
2026-07-02 01:00:28.912437,england,success,item:07888e7b-7da1-414f-9a7c-622184a85ef2,"APNs: 1 sent, 0 failed of 1"
2026-07-02 08:51:17.306638,england,success,item:c00ec0d4-32ec-45c2-b06a-28d549d38112,"APNs: 1 sent, 0 failed of 1"
2026-07-02 08:52:46.960768,sweden,success,item:827160f0-eee9-49e6-9b03-087166764380,"APNs: 10 sent, 0 failed of 10"
2026-07-03 00:46:24.790113,england,success,item:7bc159ea-6485-4145-ac6c-323dc70d7787,"APNs: 1 sent, 0 failed of 1"
2026-07-03 08:50:57.465242,england,success,item:d913209f-69f2-4ffd-b704-fbd5fb7a74d2,"APNs: 1 sent, 0 failed of 1"
2026-07-04 00:47:16.146731,england,success,item:12348106-bd47-4950-ba8b-f451384e32e6,"APNs: 1 sent, 0 failed of 1"
2026-07-04 08:50:13.236368,england,success,item:ee4e4c27-15b9-45f1-8b1e-1701e51e2ca5,"APNs: 1 sent, 0 failed of 1"
2026-07-05 00:48:06.027672,england,success,item:5239a05b-94c2-4a4b-b8a0-9102a295898d,"APNs: 1 sent, 0 failed of 1"
2026-07-06 00:46:08.090921,england,success,item:df4760ac-bebc-4186-8a84-ca2bf9fe7e8e,"APNs: 1 sent, 0 failed of 1"
2026-07-06 03:37:02.856837,england,success,wc_goal:england:1570714,"WC goal: 1 sent, 0 failed of 1"
2026-07-06 03:39:04.259283,england,success,wc_goal:england:1570714,"WC goal: 1 sent, 0 failed of 1"
2026-07-06 03:43:04.224217,england,success,wc_goal:england:1570714,"WC goal: 1 sent, 0 failed of 1"
2026-07-06 03:52:11.193502,england,success,wc_ht:england:1570714,"WC ht: 1 sent, 0 failed of 1"
2026-07-06 04:23:04.111696,england,success,wc_goal:england:1570714,"WC goal: 1 sent, 0 failed of 1"
2026-07-06 04:33:03.010351,england,success,wc_goal:england:1570714,"WC goal: 1 sent, 0 failed of 1"
2026-07-06 05:06:04.954808,england,success,wc_ft:england:1570714,"WC ft: 1 sent, 0 failed of 1"
2026-07-06 08:52:12.316741,england,success,item:63cf510b-4a66-42fd-bc14-795e0e6a74b8,"APNs: 1 sent, 0 failed of 1"
2026-07-07 00:52:38.855438,england,success,item:26c4e6c9-522d-4534-98ee-557ba88a87da,"APNs: 1 sent, 0 failed of 1"
2026-07-07 08:45:42.214915,england,success,item:d43e2d60-c192-4eed-8c57-f0ae09e5199d,"APNs: 1 sent, 0 failed of 1"
2026-07-08 00:47:45.496952,england,success,item:425d4819-28f1-465e-b4d8-ad8983a6962c,"APNs: 1 sent, 0 failed of 1"
2026-07-09 00:47:24.078811,england,success,item:037ae49f-0340-4d87-a3b5-a7b488622ac5,"APNs: 1 sent, 0 failed of 1"
2026-07-09 08:46:51.095241,england,success,item:a8a2d87e-0c64-41e0-97c3-3d6715a9986b,"APNs: 1 sent, 0 failed of 1"
2026-07-10 00:50:01.010007,england,success,item:a5c34d8f-668b-483f-8df7-594b7aa2584c,"APNs: 1 sent, 0 failed of 1"
2026-07-10 08:48:23.255493,england,success,item:4d90d71b-45d4-4719-9068-c4dc55391251,"APNs: 1 sent, 0 failed of 1"
2026-07-11 00:50:53.981786,england,success,item:75c1295d-1689-46d8-bfd2-9f9d01440672,"APNs: 1 sent, 0 failed of 1"
2026-07-11 08:50:34.923641,england,success,item:163af8fa-0dc6-454f-ab7e-8b251b52a503,"APNs: 1 sent, 0 failed of 1"
2026-07-11 22:30:06.004123,england,success,wc_kickoff:england:1581037,"WC kickoff: 1 sent, 0 failed of 1"
2026-07-11 23:37:03.55887,england,success,wc_goal:england:1581037,"WC goal: 1 sent, 0 failed of 1"
2026-07-11 23:48:03.76724,england,success,wc_goal:england:1581037,"WC goal: 1 sent, 0 failed of 1"
2026-07-11 23:52:05.800162,england,success,wc_ht:england:1581037,"WC ht: 1 sent, 0 failed of 1"
2026-07-12 00:18:04.518048,england,success,wc_goal:england:1581037,"WC goal: 1 sent, 0 failed of 1"
2026-07-12 00:50:25.42724,south_africa,success,item:f4c78b57-779d-4a26-801c-32aa2eb3269c,"APNs: 1 sent, 0 failed of 1"
2026-07-12 01:11:03.073444,england,failure,wc_goal:england:1581037,"WC goal: 0 sent, 1 failed of 1"
